iter	Passed	Remaining
965	3278	115
966	3281	112
967	3286	108
968	3288	105
969	3292	101
970	3295	98
971	3297	95
972	3300	91
973	3303	88
974	3306	84
975	3309	81
976	3312	77
977	3316	74
978	3319	71
979	3322	67
980	3325	64
981	3329	61
982	3332	57
983	3335	54
984	3339	50
985	3343	47
986	3346	44
987	3349	40
988	3352	37
989	3355	33
990	3358	30
991	3361	27
992	3365	23
993	3368	20
994	3371	16
995	3375	13
996	3379	10
997	3382	6
998	3385	3
999	3388	0
